frjunc,tojunc,minflow,maxflow
Lake_Wanaka,Lake_Dunstan,na,na
Lake_Hawea,Lake_Dunstan,10,200
Clyde_tail,Lake_Roxburgh,66.25,na
Roxburgh_tail,SEA,250,na
Lake_Taupo,Lake_Aratiatia,50,na
Karapiro_tail,SEA,148,na
Lake_Tekapo,Lake_Scott,na,850
Lake_Scott,Tekapo_canal_head,na,130
Lake_Scott,Lake_Benmore,na,600
Tekapo_canal_head,Tekapo_canal_tail,na,130
Lake_Pukaki,Lake_Benmore,na,3400
Lake_Pukaki,Pukaki_Ohau_canal_junction,na,560
Lake_Ohau,Pukaki_Ohau_canal_junction,na,200
Lake_Ohau,Lake_Ruataniwha,10,na
Lake_Ruataniwha,Lake_Benmore,na,1740
Ohau_BC_canal,Lake_Benmore,na,na
Waitaki_tail,SEA,170.5,na
